Articolo;Descrizione lunga;Segn.;Costo Unitario;Proc. Speciale;Produttore;Produttore Modello;Produttore Codice
D.C3210177;INT. PER COPERCHIO;;,00;;;;
D.C3210178;INT.CORREZ. ERRORE COPERCHIO;;,00;;;;
D.C3210179;INT. MODIFICA FLANGIA;;,00;;;;
D.C3210180;INT.PN.VALVOLA LUCCHETTABILE;;20,97;;;;
D.C3220000;INT.MATERIALE A COMPLETAMENTO;;39,59;;;;
D.C3220001;INT.MATERIALE A COMPLETAMENTO;;,00;;;;
D.C3220002;INT.PULSANTERIA ELETTR.VALVOLA;;36,38;;;;
D.C3220003;COMPL.POST SPEDIZ.D2210007;;30,17;;;;
D.C3220004;COMPL.POST SPEDIZ.D2200010;;12,86;;;;
D.C3220005;INTEGR.TUBI;;,00;;;;
D.C3220006;INT. TUBI LAVAGGIO;;,00;;;;
D.C3220007;INT. PEDANA;;,00;;;;
D.C3220008;INT.COMPLETAMENTO D4210024;;214,55;;;;
D.C3220009;INT.COMPLETAMENTO D4210025;;3,24;;;;
D.C3220010;INT.SICUREZZA DOSAGGIO;;,77;;;;
D.C3220011;INT.SICUREZZA DOSAGGIO;;,77;;;;
D.C3220012;INT.SICUREZZA DOSAGGIO;;,77;;;;
D.C3220013;INT.SICUREZZA DOSAGGIO;;,77;;;;
D.C3220014;INT. TUBI TERMOREGOLATORE;;,00;;;;
D.C3220015;INT. TAPPI TC;;30,96;;;;
D.C3220016;INT. CORREDO;;,00;;;;
D.C3220017;INT. PEZZI PER OFFICINA;;34,20;;;;
D.C3220018;SUPPORTO PATLITE;;,00;;;;
D.C3220019;INT.VALVOLA SICUREZZA REGOLAB.;;,00;;;;
D.C3220020;INT. GUARNIZIONI;;,00;;;;
D.C3220021;INT.ANTICIPO RECIPIENTE VETRO;;260,86;;;;
D.C3220022;CORREZIONE GUARNIZIONE;;163,78;;;;
D.C3220023;INT.RASCHIANTE A FORMATO;;115,50;;;;
D.C3220024;INT.GUARNIZIONI TEFLON;;58,62;;;;
D.C3220025;INT. GUARNIZIONI SILICONE;;45,89;;;;
D.C3220026;INT.GUARNIZIONI TEFLON;;37,80;;;;
D.C3220027;INT.GUARNIZIONI  SILICONE;;35,49;;;;
D.C3220028;INT. SUPPORTO RAFFR.OLIO TM;;,00;;;;
D.C3220029;INT.SICUREZZA PULSANTI;;4,46;;;;
D.C3220030;INT. ALIMENTAZIONE;;50,30;;;;
D.C3220031;SENSORE E BATTUTA;;2,06;;;;
D.C3220032;INT. TAPPI;;8,03;;;;
D.C3220033;INT. C PARZIALE;;37,35;;;;
D.C3220034;INT.FORM.RASCHIANTE SINGOLO;;100,14;;;;
D.C3220035;INT. COLLEGAMENTI;;5,64;;;;
D.C3220036;INT. PNEUMATICA;;30,39;;;;
D.C3220037;"INT. VALV SIC. 0.49 BAR TC 1""";;331,88;;;;
D.C3220038;INT. GANCI COP.ASPORT.;;9,17;;;;
D.C3220039;INT.RASCHIANTE RIPORTATO;;62,14;;;;
D.C3220040;INT. CARTER SENSORE;;1,24;;;;
D.C3220041;INT. FONDO RECIPIENTE;;2 459,65;;;;
D.C3220042;INT. X VALVOLA DI FONDO;;,32;;;;
D.C3220043;INT. TUBO RICIRCOLO LAVAGGIO;;139,68;;;;
D.C3220044;INT. CONN.MELTER CIP;;135,00;;;;
D.C3220045;INT. CONN. TFIX CIP;;322,20;;;;
D.C3220046;INT.GUARNIZIONE;;,00;;;;
D.C3220047;"INT.TAPPO VALV.FRONT. 1""1/2";;31,29;;;;
D.C3220048;INT REVAMPING;;340,53;;;;
D.C3220049;INT.PN.PROVA VALVOLA;;25,93;;;;
D.C3220050;INT.PROVA VFY70;;,90;;;;
D.C3220051;INT.SEMILAVORATI RASCHIANTI;;226,47;;;;
D.C3220052;RASCHIANTE FONDO POS.3 TM1000;;182,67;;;;
D.C3220053;INT. ROND. CORREZIONE;;,12;;;;
D.C3220054;"INT. TAPPO VALV. FRONT. 1"" 1/2";;29,51;;;;
D.C3220055;INT TAMPONE VFY70;;32,90;;;;
D.C3220056;INT.RASCH.SMONTABILE TUBO 40;;19,01;;;;
D.C3220057;INT. VFY30V2;;128,51;;;;
D.C3220058;INT.RASCH.SUPPL.;;,00;;;;
D.C3220059;INT.RASCHIANTI SMONTABILI 2 PZ;;,00;;;;
D.C3220060;INT.POMELLI;;13,16;;;;
D.C3220061;INT.TUBI DI LAVAGGIO;;,00;;;;
D.C3220062;INT. CENTRAGGIO ECCENTRICO;;,00;;;;
D.C3220063;INT. REVISIONE;;19,52;;;;
D.C3220064;INTEGR.PN.VALVOLE LAVAGGIO;;120,25;;;;
D.C3220065;INT. BIPLANETARIO COMPLETO;;38,96;;;;
D.C3220066;RASCHIANTE FONDO DT150;;124,40;;;;
D.C3220067;RASCHIANTI SMONTABILI;;,00;;;;
D.C3220068;INT.PROVA DISPERSIONE POLVERI;;77,40;;;;
D.C3220069;STGR.TESTA CON CENTRAGGI;;71,91;;;;
D.C3220070;INT.FISSAGGIO TUBO;;169,74;;;;
D.C3220071;INT. GUARNIZIONE;;,00;;;;
D.C3220072;INT. RICAMBI DT1500;;,00;;;;
D.C3220073;INT. RACCORDERIA;;28,80;;;;
D.C3220074;INTEGR.ANTIVIBRANTE;;20,56;;;;
D.C3220075;INT.RACC.PORTAGOMMA;;218,88;;;;
D.C3220076;INT TAPPO �;;11,25;;;;
D.C3220077;INT.RASCHIANTE FONDO DT1000 COMPOSTO;;232,99;;;;
D.C3220078;INT. TUBI ELETTRORISCALDATI;;,00;;;;
D.C3220079;INT. TUBO;;22,86;;;;
D.C3220080;INT. RASCHIANTE FONDO;;126,92;;;;
D.C3220081;INT.TAPPO DISPAY;;30,00;;;;
D.C3220082;INT. SENSORE RIBALTAMENTO;;2,06;;;;
D.C3220083;INT. SENSORE RIBALTAMENTO;;2,06;;;;
D.C3220084;INT. TUBI RISCALDANTI;;,00;;;;
D.C3220085;INTERGRAZIONE VALVOLA RITEGNO;;226,93;;;;
D.C3220086;APPLICAZIONE TRAPPOLA DEL VUOTO;;220,11;;;;
D.C3220087;PRESSORE PER SENSORE;;,04;;;;
D.C3220088;INT.LANCIA ASPIRAZIONE;;,00;;;;
D.C3220089;INTEGRAZIONE MOTORE ED250;;56,19;;;;
D.C3220090;INT. GUARNIZ. EPDM;;116,82;;;;
D.C3220091;INT.CASSETTA 200X300X120;;69,30;;;;
D.C3220092;INT.RICHIESTE CLIENTE;;157,86;;;;
D.C3220093;INT.SOST.P.VUOTO TM150;;152,87;;;;
D.C3220094;INT. ANTICIPO ATEX;;40,62;;;;
D.C3220095;INTEGRAZIONE SENSORE;;2,06;;;;
D.C3220096;INT ATTR.MTG TURBO;;287,43;;;;
D.C3220097;INT.SEMAFORO;;48,53;;;;
D.C3220098;INT. PERNI RASCHIANTI;;1,65;;;;
D.C3220099;INT. CONNESSIONI;;,00;;;;
D.C3220100;INT.TENUTE MECCANICHE;;,00;;;;
D.C3220101;INT.RASCHIANTE DI FONDO;;212,28;;;;
D.C3220102;INTEGRAZIONE FORMATO;;376,09;;;;
D.C3220103;INT.PORTAGOMMA X ARMORVIN;;32,64;;;;
D.C3220104;INT.PORTAGOMMA X ARMORVIN;;37,30;;;;
D.C3220105;INT.PN.ELETTROVALVOLA SY5120;;28,87;;;;
D.C3220106;INT.PRT.ROVINATI PER D4220003;;194,37;;;;
D.C3220107;INT.TESTA DV1100 COMPL.VERS.CENTR./VALV.TEFLON VERDE;;72,55;;;;
D.C3220108;INT.CONN.VAPORE TRW;;,00;;;;
D.C3220109;INT. GUARNIZIONI SUPPLEMENTARI;;1,22;;;;
D.C3220110;INT.RASCHIANTE E BOCCOLA DI FONDO;;587,05;;;;
D.C3220111;INTEGR. RACCORDO RAPIDO;;9,26;;;;
D.C3220112;INT.SONDA DITO GUANTO;;19,34;;;;
D.C3220113;INT. KIT. RAFFREDDAM.TURBINA;;8,12;;;;
D.C3220114;INT. RICAMBI IN GARANZIA;;,15;;;;
D.C3220115;INT. AL GR. D4A85100410;;34,56;;;;
D.C3220116;REVISIONE GRUPPO MESCOLATORE;;560,43;;;;
D.C3220117;INT. TUBI VAPORI;;,00;;;;
D.C3220118;INT.GR.POMPA VUOTO 2,4 KW;;74,21;;;;
D.C3220119;INT.RASCHIANTE FONDO;;141,45;;;;
D.C3220120;INTEGRAZIONE SUPPORTI VENTOLE;;189,71;;;;
D.C3220121;INT ACCESSORI ARM.EL.;;,00;;;;
D.C3220122;INT.AL GR.D6M15100230;;,00;;;;
D.C3220123;RASCHIANTE DI FONDO COMPOSTO;;483,69;;;;
D.C3220124;INT.AL GR. D6M15100230;;,00;;;;
D.C3220125;INT.AL GR. D4G02100810;;34,20;;;;
D.C3220126;INT.REVISIONE MACCHINA;;12,66;;;;
D.C3220127;INT. REGOLATORE PORTATA;;,00;;;;
D.C3220128;INT. IMPIANTO OLEODINAMICO;;,00;;;;
D.C3220129;INT. GUARNIZIONE;;,00;;;;
D.C3220130;INT.PORTAGOMMA X ARMORVIN;;183,60;;;;
D.C3220131;INTEGR.CIL.ROVESCIAMENTO;;,00;;;;
D.C3220132;INT. AL GR D2G01201010 PER N.C.;;,23;;;;
D.C3220133;INT.CASS.SELETTORE M390010002;;71,34;;;;
D.C3220134;INT. RICHIESTE CLIENTE;;177,51;;;;
D.C3220135;INT. AL GR. D4M10101210;;31,95;;;;
D.C3220136;INT. AL GR. D4M12101210;;58,49;;;;
D.C3220137;INT.UPGRADE ALLINEAMENTO VASO;;79,46;;;;
D.C3220138;INT. AL GR.D2G73105110;;,51;;;;
D.C3220139;INTEGRAZIONE COPERCHI E CHIUSURE;;158,69;;;;
D.C3220140;INT. AL GR. D4A75102810;;82,80;;;;
D.C3220141;INT. AL GR. D4A10100810;;51,19;;;;
D.C3220142;INT. AL GR. D4M12102010;;44,13;;;;
D.C3220143;INT. AL GR. D4A90101410;;23,33;;;;
D.C3220144;INT. D6G12100110;;5,15;;;;
D.C3220145;INT. AL GR. D6G62100410;;37,26;;;;
D.C3220146;INT. AL GR. D4G01403610;;59,01;;;;
D.C3220147;INT.AL D4G01403910;;4,13;;;;
D.C3220148;INT.D4A90102710;;,00;;;;
D.C3220149;INT.AL D4G01303710;;2,15;;;;
D.C3220150;INT.AL GR.D4G01404010;;2,23;;;;
D.C3220151;INTEGRAZIONE GR.CARTER APERTO AGIT.M150;;6,23;;;;
D.C3220152;INT.AL GR. D4G01303710;;10,06;;;;
D.C3220153;INT.AL GR. D4A50300310;;,00;;;;
D.C3230001;INT. AL GR. D4G01303910;;28,88;;;;
D.C3230002;INT. AL GR.D4M10103010;;24,96;;;;
D.C3230003;INT. AL GR. D6M10100610;;9,73;;;;
D.C3230004;INT. GRUPPO RASCHIANTI MAGGIORATI;;31,16;;;;
D.C3230005;INT. GRUPPO RASCHIANTI MAGGIORATI;;41,44;;;;
D.C3230006;INT. AL GR. D4M91100810;;,00;;;;
D.C3230007;INT. AL GR.D4M60102010;;5,00;;;;
D.C3230008;****CODICE LIBERO******;;,00;;;;
D.C3230009;INT. AL GR. D4A52200910;;33,05;;;;
D.C3230010;INT. AL GR. D4G70200110;;40,62;;;;
D.C3230011;INT. AL GR. D4G70200410;;40,62;;;;
D.C3230012;RASCHIANTE DI FONDO;;124,84;;;;
D.C3230013;RASCHIANTE DI FONDO;;126,74;;;;
D.C3230014;RASCHIANTE DI FONDO;;190,17;;;;
D.C3230015;RASCHIANTE DI FONDO;;199,29;;;;
D.C3230016;RASCHIANTE DI FONDO;;107,81;;;;
D.C3230017;RASCHIANTE DI FONDO;;53,20;;;;
D.C3230018;RASCHIANTE DI FONDO;;114,13;;;;
D.C3230019;INT.KIT GUARNIZ.PROD.AGGRESS.;;5,50;;;;
D.C3230020;INT.GR.RISCALDATO;;,00;;;;
D.C3230021;INT. AL GR. D4M91101310;;,00;;;;
D.C3230022;INTEGRAZIONE CHIUSURE;;,23;;;;
D.C3230023;INT. AL GR. D4G01303710;;3,13;;;;
D.C3230024;INTEGRAZIONE REVISIONE DV1100;;19,12;;;;
D.C3230025;INT. AL GR. D4M91100810;;,00;;;;
D.C3230026;INT. AL GR. D4M91100710;;,00;;;;
D.C3230027;INT. AL GR. D4M91100710;;,00;;;;
D.C3230028;INT. AL GR. D4M10102020;;2,82;;;;
D.C3230029;INT. MATERIALE OFFICINA;;1 527,35;;;;
D.C3230030;INT. AL GR. D4A85102710;;116,59;;;;
D.C3230031;INT. AL GR. D4A10100510;;178,76;;;;
D.C3230032;INT. FIERA;;470,18;;;;
D.C3230033;INT. AL GR. D4G70201710;;40,62;;;;
D.C3230034;INT. AL GR. D4G70202010;;40,62;;;;
D.C3230035;INT. AL GR. D4M60101720;;3,57;;;;
D.C3230036;INT. AL GR. D4A85100110;;,00;;;;
D.C3230037;INT. REVISIONE DT150;;8,58;;;;
D.C3230038;INT. AL GR.D4M12101020;;47,36;;;;
D.C3230039;INT.PN.MANOMETRO-PRESSOSTATO;;172,35;;;;
D.C3230040;INT. AL GR.D3M96100110;;146,12;;;;
D.C3230041;INT. PEZZI PROVE FLOWAVE;;24,30;;;;
D.C3230042;INT. AL GR. D4A30101110;;44,31;;;;
D.C3230043;INT. AL GR. D4A30101110;;44,31;;;;
D.C3230044;INT. AL GR. D4A10100510;;43,55;;;;
D.C3230045;INT. AL FORM. 4D03G000000;;128,16;;;;
D.C3230046;INT. AL GR. D4A85101010;;49,56;;;;
D.C3230047;INTEGRAZIONE SERBATOIO;;277,40;;;;
D.C3230048;INT.PUNTI RICHIESTA FAT;;7,42;;;;
D.C3230049;INT. ROTORE A DENTI DT25;;,23;;;;
D.C3230050;INT. ROTORE A DENTI DT200;;,23;;;;
D.C3230051;INT. REVISIONE PALA;;220,21;;;;
D.C3230052;INT. AL GR. D4G01403910;;,00;;;;
D.C3230053;INT. AL GR. D4M91100810;;,00;;;;
D.C3230054;INT. RASCHIANTE MELTER;;27,55;;;;
D.C3230055;INTEGRAZIONE 3 NASTRI;;48,02;;;;
D.C3230056;VALVOLA A FILO MANUALE;;223,60;;;;
D.C3230057;INT. CIRCOLATORE;;26,48;;;;
D.C3230058;INT. CIRCOLATORE;;26,48;;;;
D.C3230059;INT. REVISIONE DT5 594 - 1989;;20,41;;;;
D.C3230060;INT. AL GR. D4A90100330;;10,38;;;;
D.C3230061;INT.AL GR. D4A95100710;;71,02;;;;
D.C3230062;INT.AL GR. D4A30101310;;29,34;;;;
D.C3230063;INT. PN. SICUREZZA PENUM. CIP;;25,83;;;;
D.C3230064;INT. AL GR. D4A90102310;;113,58;;;;
D.C3230065;INT. TAPPI MELTER;;7,51;;;;
D.C3230066;INT. TUBO LAVAGGIO;;,00;;;;
D.C3230067;INT.GR.D2A12101110;;49,90;;;;
D.C3230068;INT. AL GR. D4A85100920;;,00;;;;
D.C3230069;INT. KIT SENSORE OPTIMA PLUS;;,00;;;;
D.C3230070;INT. URGENZE A MONTAGGIO;;,00;;;;
D.C3230071;INT. AL GR. D4A12200310;;15,36;;;;
D.C3230072;INT. UPGRADE DRENAGGIO PIPING;;155,16;;;;
D.C3230073;INT. AL GR. D4M10102110;;,37;;;;
D.C3230074;INT. AL GR. D4A12200210;;7,99;;;;
D.C3230075;INT. AL GR. D4M10102020;;,93;;;;
D.C3230076;INT. AL GR. D4G01404210;;,00;;;;
D.C3230077;INT. PARTI OFFICINA;;1,09;;;;
D.C3230078;INT. UPGRADE TM300;;195,30;;;;
D.C3230079;INT. UPGRADE TM400;;195,30;;;;
D.C3230080;INT. PEZZI URGENTI OFFICINA;;2,22;;;;
D.C3230081;INT. RASCHIANTE DI FONDO;;129,37;;;;
D.C5220002;M.EL.INTEGR. D4;;2,85;;;;
D.CE202001;M.E. GRUPPO UNICO INTEGRAZIONE;;70,13;;;;
D.CE204000;INT.CAVO E PRESA RJ;;,00;;;;
D.CE204001;M.E.ESPANSIONE CENTRALINA;;,00;;;;
D.CE204002;INT. M.E PRESA RJ+CAVI ETHERNE;;,00;;;;
D.CE204003;INT.M.E. PER D4200026;;,00;;;;
D.CE204004;M.EL. INTEGR.RELE;;7,97;;;;
D.CE204005;M.EL. SELETTORI + RELE;;7,97;;;;
D.CE20P001;INT.MAT.ELETTRICO;;105,15;;;;
D.CE213000;M.EL. CAVO 4 FILI SCH.;;11,53;;;;
D.CE214000;M.EL. SENSORE DI PRESSIONE;;5,00;;;;
D.CE214001;M.EL. MULTIMETRO;;172,78;;;;
D.CE21P000;M.E. PROVA PULSANTIERA;;99,68;;;;
D.CE21P001;INT.MEMORY CARD;;68,06;;;;
D.CE21P002;M.E.PULSANTE VERDE;;15,13;;;;
D.CE21P003;M.EL. CONN. ILME;;21,10;;;;
D.CE21P004;M.EL. SIEMENS;;124,54;;;;
D.CE224000;M.EL. CPU+ SCHEDA;;513,69;;;;
D.CE224010;M.EL. PRESSACAVO + RIDUZIONE ATEX;;,00;;;;
D.CE22P000;M.EL. MEMORY CARD 12MB;;,00;;;;
D.CE22P001;M.EL. SIEMENS;;,00;;;;
D.CE234000;M.EL. TAPPO M20X1,5 INOX;;,00;;;;
D.CE234001;M.EL. CONN. HDC;;,00;;;;
D.CE234002;M.E.PANN.COMANDI MTP1200 SIEMENS;;,00;;;;
D.CE23P000;M.E.TASTIERA +CAVO E COVER;;,00;;;;
D.CE721000;M.E. PER D7200002;;,00;;;;
D.CH010001;ASTA CHIUDITUBO;;,00;;;;
D.CH010002;BASE SUPERIORE;;,00;;;;
D.CH010003;BASAMENTO;;20,08;;;;
D.CH010004;MOBILE;;,00;;;;
D.CH010005;BECCO INSERIMENTO;;,00;;;;
D.CH010006;MARTELLO BATTITORE;;,00;;;;
D.CH010007;PIASTRA SUPERIORE;;2,63;;;;
D.CH010008;PIASTRA INFERIORE;;1,69;;;;
D.CH010009;SUPPORTO MICRO;;,00;;;;
D.CH010010;PROTEZIONE INOX;;,00;;;;
D.CH010011;LAMIERINO;;,00;;;;
D.CH010012;LEVA;;,34;;;;
D.CH010013;ASTA SUPPORTO;;,00;;;;
D.CH010014;PIASTRA 40X100X8;;,00;;;;
D.CH010015;CORONA Z35;;1,58;;;;
D.CH010016;CAMMA122;;,00;;;;
D.CH010017;CORONA Z23;;,59;;;;
D.CH010018;FUSIONE BASE;;,00;;;;
D.CH010019;PIASTRA INCUDINE;;,00;;;;
D.CH010020;TAMPONE SCORRIMENTO;;,00;;;;
D.CH010021;PERNO CUSCINETTO;;,00;;;;
D.CH010022;LEVA MICRO;;,24;;;;
D.CH010023;ALBERO;;,00;;;;
D.CH010024;PIASTRA ASOLATA;;,00;;;;
D.CH010025;PIASTRA BATTENTE;;,00;;;;
D.CH010026;SUPPORTO MOTORE;;,86;;;;
D.CH010027;PORTAPUNZONI 9 CARATTERI;;,00;;;;
D.CH010027B;*CODICE ERRATO;ANN;,00;;;;
D.CH010028;STAFFA INOX;;,00;;;;
D.CH010029;TUBO GUIDA MOLLA;;,00;;;;
D.CH010030;MOLLA BASE;;,00;;;;
D.CH010031;MOLLA LUNGA;;,00;;;;
D.CH010032;MOLLA MEDIA;;,00;;;;
D.CH010033;MOLLA A TRAZIONE;;,00;;;;
D.CH010034;ALBERO CERNIERA;;,00;;;;
D.CH010035;COPERCHIO PLEXIGLASS;;13,37;;;;
D.CH010036;RONDELLA MOTORE;;,00;;;;
D.CH010037;CAMMA ALTA;;,00;;;;
D.CH010038;CAMMA BASSA;;,46;;;;
D.CS210001;MAT. EL. MOD. SIC. REER AD SR1;;101,88;;;;
D.CS210002;M.EL. LAVAGGIO;;70,34;;;;
D.CS210003;M.EL. BARR. INTRINSECA BAUMER;;200,00;;;;
D.CS220000;M.EL.SENSORE LBFS;;,00;;;;
D.CS220001;M.E.TEMPORIZZATORE;;,00;;;;
D.CS220002;M.EL. QUADRO SPECIALE;;122,39;;;;
D.CS220003;M.EL. RELE PHOENIX;;,00;;;;
D.CS220004;M.EL. PULSANTI;;26,53;;;;
D.CS220005;M.EL. PULSANTI VARI;;15,63;;;;
D.CS220006;M.E. SIEMENS;;51,16;;;;
D.CS230000;M.EL. CONTATTORI;;82,43;;;;
D.CS230001;M.EL. INVERTER ABB+ AUTOM.;;43,33;;;;
D.CS230002;M.EL.CIRCOLATORE;;58,75;;;;
D.CS230003;M.EL. MOD. PULS. D4220019;;327,96;;;;
D.CS230004;COMPL. DRENAGGIO D4220019;;8,43;;;;
D.CS230005;GR. ROMPIVUOTO D4220019;;2,85;;;;
D.D-D2072235;FUSORE  MATRICOLA 2235-2007;;,00;;;;
D.D-D4180021;TURBO-MEK 1500 matricola D4180021;;,00;;;;
D.D-D4180038;MODELLO TMEK1000;;,00;;;;
D.D-D4991612;DUMOTURBO 100  FRIDDA DORSCH;;,00;;;;
D.D-D6180005;EDUARD 250 DR. SPILLER - GERMA;;,00;;;;
D.D-D6180020;ANNULLATO 04/19 FILLY-350 DUMEK ANCOROTTI COSMETICS;ANN;,00;;;;
D.D7600C011;PIASTRA SUPERIORE;;32,48;;;;
D.DCH010013;ASTA SUPPORTO;;,00;;;;
D.DCH010027B;PORTALETTERE 11 CARATTERI;;,00;;;;
D.DCH010036;RONDELLA MOTORE;;,00;;;;
D.DEV125001;FORCELLA;;,00;;;;
D.DEV125006;PIGNONE;;,00;;;;
D.DEV125008;SLITTA CREM.;;,00;;;;
D.DEV125009;CREMAGLIERA;;,00;;;;
D.DEV125010;CHIAVETTA CREM.;;,00;;;;
D.DEV125011;SUPPORTO MICRO SPORTELLO;;,00;;;;
D.DEV125012;SUPPORO MICRO;;,00;;;;
D.DEV125014;SUPPORTO CREMAGLIERA;;,00;;;;
D.DEV125017;ALBERO RIDUTTORE;;,00;;;;
D.DEV125019;PIASTRA BASE;;,00;;;;
D.DEV125025;FLANGIA;;,00;;;;
D.DEV125026;FLANGIA;;,00;;;;
D.DEV125027;ALBERO;;,00;;;;
D.DEV125028;PISTONE;;,00;;;;
D.DEV125029;CAMMA DEVIATORE;;,00;;;;
D.DEV125033;STAFFA;;,00;;;;
D.DEV125034;CILINDRO PRODOTTO ED100;;,00;;;;
D.DEV125035;ALBERO;;,00;;;;
D.DEV125039;TIRANTE;;,00;;;;
D.DEV125049;BASAMENTO;;,00;;;;
D.DEV129029;CAMMA;ANN;,00;;;;
D.DEV250043;MENSOLA;;,00;;;;
D.DEV250048;CARTER FINESTRA;;,00;;;;
D.DEV250C02;COPERTURA TIRANTE;;,00;;;;
D.DEV250C03;STAFFA TESTA;;,00;;;;
D.DEV250C3;codice errato;ANN;,00;;;;
D.DEV250G001;MOZZO POSTERIORE;;,00;;;;
D.DEV250G002;PIANO APPOGGIO;;,00;;;;
D.DEV250G003;ALBERO DI TRASMISSIONE D.12;;,00;;;;
D.DEV250G004A;STAFFA PORTA MICRO ANTERIORE;;,00;;;;
D.DEV250G004P;STAFFA PORTA MICRO POSTERIORE;;,00;;;;
D.DEV250G005;GIUNTO VALVOLA FEMMINA;;,00;;;;
D.DEV250P001;MOZZO ANTERIORE;;,00;;;;
D.DEV250P002;ALBERO POMPA;;,00;;;;
D.DEV250P003;CANNOTTO PRODOTTO;;,00;J0001000016;;;
D.DEV250P004;PIASTRINO SEGNALE MICRO;;,00;;;;
D.DEV250P005;FLANGIA SX;;2,78;;;;
D.DEV250P006;GIUNTO VALVOLA MASCHIO;;,00;;;;
D.DEV250P008;BRACCIO SUPPORTO MOTORE;;,00;;;;
D.DEV250P010;CULLA CANNOTTO;;,00;;;;
D.DEV250P012;VITE A RICIR.DI SFERE SERVOMEC;;,00;;;;
D.DN100TV01;Disco vetro calcio sodico temp.D.118 sp.12 foro centr.12 mm;;,00;;;;
D.DT0050008;COPERCHIO GRANDE;;,00;;;;
D.DT0050009;CORPOFUSIONE;;,00;;;;
D.DT0050010;COPERCHIO PICCOLO;;,00;;;;
D.DT0050014;DISTANZIALE;;,00;;;;
D.DT0050018;ALBERO ESTERNO;;,00;;;;
D.DT0050023;FLANGIA SUPPORTO MOTORE;;,00;;;;
D.DT0050024;DISTANZIALE LUNGO;;,00;;;;
D.DT0050025;COPERCHIO POZZETTO;;,00;;;;
D.DT0050027;ROTORE DENTI DT 5;;,00;J0001000020;;;
D.DT0050030;DISTANZIALE CORTO;;,00;;;;
D.DT0050033;CARTERINO COLONNA;;,00;;;;
D.DT0050037;FONDELLO RESISTENZA;;,00;;;;
D.DT0050037A;TAPPO FONDELLO RESISTENZA 25;;,00;;;;
D.DT0050037B;TAPPO FONDELLO RESISTENZA 5-10;;,00;;;;
D.DT0050037C;FLANGIA FONDELLO RESISTENZA 5-10;;,00;;;;
D.DT0050039;ROTORE AD ELICA;;,00;;;;
D.DT0050040;PIATTELLO DT5-10;;,00;J0001000016;;;
D.DT0050111;PIATTELLO FUSIONE;;,00;;;;
D.DT0050112;INGRANAGGIO INFERIORE;;,00;;;;
D.DT0050113;INGRANAGGIO;;,00;;;;
D.DT0050126;STATORE 304;ANR;,00;;;;
D.DT0050214;POZZETTO TENUTE;;,00;J0001000020;;;
D.DT0050216;BOCCOLA PALA;;,00;J0001000016;;;
D.DT0050218;ALBERO ESTERNO VERSIONE LUNGA AISI 316;;,00;J0001000020;;;
D.DT0050301;FLANGIA INGRANAGGIO IN FE;;1,36;;;;
D.DT0050302;DISTANZIALE IN FE;;,06;;;;
D.DT0050313;DISTANZIALE PIGNONE;;,00;;;;
D.DT0050317;INGRANAGGIO SUPERIORE;;,00;;;;
D.DT0050318;ALBERO ESTERNO VERS.CORTA;;,00;;;;
D.DT005K002;FLANGIA TENUTA;;,00;;;;
D.DT005K003;SUPPORTO DX;;,00;;;;
D.DT005K004;SUPPORTO SX;;,00;;;;
D.DT005K012;PALA INTERNA;;,00;J0001000016;;;
D.DT005K013;BECCO TM 5;;,00;J0001000016;;;
D.DT005K014;FLANGIA PVC;;,00;;;;
D.DT005K021;LEVA MICRO ROVESCIATA;;,00;;;;
D.DT005K022;PORTA ANT E POST con appl.cerniere interne;;,00;;;;
D.DT005K023;PIANO LAMIERA con appl. Cassetto  e cern. Interne;;,00;;;;
D.DT005K024;COLONNA 5 - 10 STANDARD;;,00;;;;
D.DT005K111;PALA ESTERNA;;,00;J0001000016;;;
D.DT005K111A;NOTTOLINO FRESATO;;,00;J0001000016;;;
D.DT005K112;PERNO PER RASCHIANTE FONDO - AISI 316;;,00;J0001000016;;;
D.DT005K113;SUPPORTO FORNELLO;;,00;;;;
D.DT005K115;RASCHIANTE LATERALE TM 5;;,00;J0001000020;;;
D.DT005K119;LAMIERA BOCCOLA;;,00;;;;
D.DT005K125;ARMADIO COMPLETO;;,00;;;;
D.DT005K125A;PANNELLO COMANDI;;,00;;;;
D.DT005K125B;CASSETTA ELETTRICA;;,00;;;;
D.DT005K125D;MEMEBRANA;;,00;;;;
D.DT005K125G;PORTA ARMADIO TM5/15;;,00;;;;
D.DT005R021;MENSOLA;;,00;;;;
D.DT005R022;LAMIERA SOTTOMENSOLA;;,00;;;;
D.DT005R023;BOCCOLA MENSOLA;;,00;;;;
D.DT005V001;LAVORAZIONE VOLANTINO;;,00;;;;
D.DT0100102;PALA INTERNA;;,00;J0001000016;;;
D.DT010K006;PORTA POSTERIORE;;5,08;;;;
D.DT010K010;CARTER POSTERIORE;;,00;;;;
D.DT010K015B;CASSETTA ELETTRICA;;,00;;;;
D.DT010K016;ANGOLARE DX;;,00;;;;
D.DT010K019F;RIALZO CON FORATURA RACCORDO MOBILE+FS05;;60,28;;;;
D.DT010K020F;CARTER RACCORDO MOBILE PER FS05;;,00;;;;
D.DT010K021;CUFFIA;;,00;;;;
D.DT010K022;COLONNA DX;;,00;;;;
D.DT010K022F;PORTA ANT E POST con appl.cerniere interne;;,00;;;;
D.DT010K023;PIANO CON PREDISPOSIZIONE CASS;;,00;;;;
