Articolo;Descrizione lunga;Segn.;Costo Unitario;Proc. Speciale;Produttore;Produttore Modello;Produttore Codice
E32987C00005;FIBRA OTTICA PER ALTE TEMPERATURE LL3-TH08-3 L=3MT 350� SICK;;462,00;;;;
E32987C00006;LENTE FIBRA OTT.LL3-TA01 ATEX NR.5308128 SICK;;19,25;;;;
E32987F00000;FOTOCELLULA FIBRA OTTICA E/R FTL 716 BC SEEKA;;221,83;;;;
E32987F00001;FOTOCELLULA FIBRA OTTICA PER CS-C3  CS-FR 10 SEEKA;;437,67;;;;
E32987F00002;FOTOCELLULA FIBRA OTTICA FR 105 BC SEEKA;;38,56;;;;
E32987F00003;FOTOCELLULA FIBRA OTTICA FX  84 BC SEEKA;;58,61;;;;
E32987F00004;FOTOCELLULA FIBRA OTTICA CSF V5    SEEKA;;440,69;;;;
E32987F00005;FOTO FIBRA OTT.CSFX 10   SEEKA;;568,05;;;;
E32987F00006;FIBRA OTTICA  PR/RIC LAMA DI LUCE   FTLV702BC TAKEX;;261,02;;;;
E32988C00000;FIBRA OTTICA FT-V30 L-2000MM LETTURA 90�(EX FT-SFM2-SV2)SUNX;;106,00;;;;
E32988C00001;FIBRA OTTICA FD-FM2      L-2000MM                  SUNX;;131,00;;;;
E32988C00002;GUAINA METALLICA FDP 500 L=500 MM PER FIBRA OTT.FD-FM2 SUNX;;16,60;;;;
E32989100000;FOT.FIBRA OTT. LCR-01-2,3-05-Z1  VISOLUX;;73,70;;;;
E32989800000;LENTE A 90� MOD.LA9 WENGLOR;;25,32;;;;
E32989800001;CAVO A FIBRA OTTICA 081-332-204 (NORME ATEX) WENGLOR;;82,00;;;;
E32989800002;CAVO A FIBRA OTTICA 083-335-204 (NORME ATEX) WENGLOR;;113,00;;;;
E32989800003;CAVO A FIBRA OTTICA 081-338-208 (NORME ATEX) WENGLOR;;98,00;;;;
E32989800004;CAVO A FIBRA OTTICA 163-338-210 (NORME ATEX) WENGLOR;;150,00;;;;
E32989800005;CAVO A FIBRA OTTICA 163-338-204 (NORME ATEX) WENGLOR;;102,00;;;;
E32990000000;SCOTCH RIFL.RT3970 ART.S940000900 (FOGLI) DATALOGIC;;10,56;;DATALOGIC AUTOMATION SRL;;S940000900
E32991900000;FOTOCELLULA RIFLETTORE R1 DATASENSOR/DATALOGIC;;1,20;;;;
E32991900001;FOTOCELLULA RIFLETTORE R2 803-05 DATASENSOR/DATALOGIC;;1,98;;DATALOGIC AUTOMATION SRL;;S940700048
E32991900002;*SOST.DA E32990000000 FOT.RIFLETTORE RT 3970 DATALOGIC;;10,56;;;;
E32991900003;FOTOCELLULA RIFLETTORE R3 900 1138 DATASENSOR/DATALOGIC;;1,72;;DATALOGIC AUTOMATION SRL;;S940700972
E32991900004;FOTOCELLULA RIFLETTORE R20 DATASENSOR/DATASENSOR;;5,35;;;;
E32991900005;LENTE X FIBRA OTTICA  AF-4 ART.95ACC2720 DATALOGIC;;12,40;;DATALOGIC AUTOMATION SRL;;95ACC2720
E32991F00000;FOT.RIFLETT.CX605000309 LXU-0001-032 CX605000309 CONTRINEX;;16,15;;;;
E32992000000;FOTOCELLULA RIFLETTORE RL 102    DIELL;;2,66;;;;
E32992000001;FOTOCELLULA RIFLETTORE RL 105G MM 38X95 (EX 40x90) DIELL;;5,34;;;;
E32992000002;FOTOCELLULA RIFLETTORE RL 106G MM 40X180 DIELL;;2,99;;;;
E32992000003;FOTOCELLULA RIFLETTORE RL 111G  DIELL;;3,48;;;;
E32992000004;FOTOCELLULA RIFLETTORE RL 112G DIELL;;3,48;;;;
E32992000009;*FUORI PRODUZIONE RIFLETTORE RL 105 MM 40X90 DIELL;ANN;5,04;;;;
E32994S00000;LENTE DI FOCALIZZAZIONE F3 HA KEYENCE;;115,12;;;;
E32994S00001;NASTRO RIFLETTENTE OP-51428 DIMENSIONI 15x50mm KEYENCE;;23,12;;;;
E32994S00002;LENTE PER FIBRA OTTICA F-2 ART.02201 KEYENCE;;43,67;;;;
E32994S00010;RIFLETTORE R-5 KEYENCE;;6,28;;;;
E32995700000;CATARIFRANGENTE E39-R12 OMRON;;22,03;;;;
E32996400001;SPECCHIO DEVIATORE H=400mm SP300S REER;;79,93;;;;
E32997C00001;LENTE A 90�X PRO-RIC LL3-TA02 5306 051 FISS.M2,6X0,4 SICK;;24,50;;;;
E32997F00000;LENTE DI FOCALIZZAZIONE FA200 SEEKA;;26,49;;;;
E32998C00000;FOTOCELLULA RIFLETTORE RF-230   SUNX;;9,60;;;;
E32999800000;CATARIFRANGENTE MOD.M123-70 WENGLOR (FUORI PRODUZIONE);;3,36;;;;
E32999800001;CATARIFRANGENTE MOD. RE6210BM WENGLOR;;4,84;;;;
E32999800002;CATARIFRANGENTE MOD.RR21KM WENGLOR;;2,69;;;;
E32999800003;CATARIFRANGENTE RQ 84 BA WENGLOR;;6,00;;;;
E32999800004;CATARIFRANGENTE ADESIVO ZRDF03K01 WENGLOR;;10,98;;;;
E32999800005;CATARIFRANGENTE MOD.RE8222BA WENGLOR;;8,15;;;;
E32999800006;CATARIFRANGENTE MOD.Z90R009 WENGLOR;;13,50;;;;
E32999800007;CATARIFRANGENTE RF255 IN FOGLIO 500 � 25 WENGLOR;;6,90;;WENGLOR SENSORIC ITALIANA S.r.;;
E3299980005;*SOSTIUITO DA E32999800005;ANN;,00;;;;
E32SP0000000;FOTOCELLULA;;323,00;;;;
E332170010;CONTATTO NC PER PULS.EMERG. ART.3SU1400-2AA10-1CA0 SIEMENS;ANN;,00;;SIEMENS S.P.A;;3SU1400-2AA10-1CA0
E33220D010;BASE+FRUTTO NC 800E-3LX01 ALLEN-BRADLEY;;,95;;;;
E332244010;FRUTTO BK 01 N.C.               KLOKNER;;13,10;;;;
E332244020;FRUTTO BK 10 N.O.              KLOKNER;;13,10;;;;
E332244110;"FRUTTO ""K""                      KLOKNER";;2,24;;;;
E332283010;*FUORI PRODUZIONE FRUTTO ZB2 BZ102 TLMC;ANN;2,31;;;;
E332283014;FRUTTO ZB4-BZ102 NC TLMC;;4,19;;;;
E332283100;*FUORI PRODUZIONE FRUTTO ZB2 BZ101 TLMC;ANN;3,54;;;;
E332283104;FRUTTO ZB4-BZ101 NO TLMC;;4,19;;;;
E332283110;*FUORI PRODUZIONE FRUTTO ZB2 BZ105 TLMC;ANN;9,61;;;;
E332344110;"FRUTTO ""KC""                     KLOKNER";;1,42;;;;
E332383010;FRUTTO XENL 1121                TLMC;;2,20;;;;
E332383100;FRUTTO XENL 1111                TLMC;;1,46;;;;
E332444110;FRUTTO LUMINOSO KFB/GL          KLOKNER;;3,10;;;;
E332483100;*FUORI PRODUZIONE FRUTTO LUMINOSO ZB2 BWO 61 TLMC;ANN;3,87;;;;
E332483110;*FUORI PRODUZIONE FRUTTO LUMINOSO ZB2 BWO 65 TLMC;ANN;5,42;;;;
E332483114;FRUTTO LUMINOSO ZB4-BW0 65 TLMC;;6,13;;;;
E332800001;ADATTATORE DI FISSAGGIO 3 MODULI EATON;;1,47;;;M22-A;216374
E332820000;ADATTATORE DI FISSAGGIO 4 CONTATTI M22-A4 279437 EATON;;,00;;;;
E332870000;CODICE LIBERO;;,00;;;;
E332870001;SUP.DI FIS.3 ALL.SENZA MOD.DI CONT.3SU1550-0AA10-0AA0SIEMENS;;2,11;;SIEMENS S.P.A;;3SU1550-0AA10-0AA0
E332870002;ADATT.MET.SAT PER MONT.FRUTTO DIAM.22 IN FORO 30,5MM SIEMENS;;2,05;;SIEMENS S.P.A;;3SU1960-0KB10-0AA0
E33290D020;CONTATTO NC 800E-3X01 ALLEN-BRADLEY;;1,89;;;;
E332920010;FRUTTO 1 NC 1.5A 250V PUSH-IN EATON;;3,91;;;M22-FK01;180791
E332920020;FRUTTO 1 NO 1.5A 250V PUSH-IN EATON;;3,91;;;M22-FK10;180792
E332944000;FLANGIA PER PULSANTE IN CUSTODIA BE3C KLOKNER;;,76;;;;
E332944010;FRUTTO CONTATTO COMP. EK 01 N.C.               KLOKNER;;1,29;;;;
E332944011;CONTATTO EK 10 C                KLOKNER;;1,52;;;;
E332944012;CONTATTO NC M22-K01 MOELLER;;1,96;;;;
E332944020;FRUTTO CONTATTO COMPON. EK 10 N.O.               KLOKNER;;1,29;;;;
E332944021;CONTATTO NO M22-K10 MOELLER;;1,96;;;;
E332970011;MODULO DI CONTATTO 1NC 3SU1400-1AA10-1CA0 SIEMENS;;2,11;;SIEMENS S.P.A;;3SU1400-1AA10-1CA0
E332970021;MODULO DI CONTATTO 1NA 3SU1400-1AA10-1BA0 SIEMENS;;2,11;;SIEMENS S.P.A;;3SU1400-1AA10-1BA0
E332970040;MODULO DI CONTATTI 2NC 3SU1400-1AA10-1EA0 SIEMENS;;4,73;;SIEMENS S.P.A;;3SU1400-1AA10-1EA0
E332983010;*FUORI PRODUZIONE FRUTTO CONTAT.COMPON.ZB2 BE102 TLMC;ANN;2,11;;;;
E332983014;FRUTTO CONTAT.COMPON.NC ZBE 102 TLMC;;3,03;;;;
E332983100;*FUORI PRODUZIONE FRUTTO CONTAT.COMPON.ZB2 BE101 TLMC;ANN;1,84;;;;
E332983104;FRUTTO CONTAT.COMPON.NO ZBE 101 TLMC;;2,33;;;;
E33309C030;CONTATTO PER PULSANTERIA 0981 02 DIAMETRO 30 VIGANO';;24,00;;;;
E333470000;MOD.WITH INT.LED 24V AC/DC, WHITE,3SU1401-1BB60-1AA0 SIEMENS;;3,15;;SIEMENS S.P.A;;3SU1401-1BB60-1AA0
E333470001;MOD.LED ROSSO 24V AC\DC MOR.VITE 3SU1401-1BB20-1AA0 SIEMENS;;3,25;;SIEMENS S.P.A;;3SU1401-1BB20-1AA0
E333470002;MOD.LED VERDE 24V AC\DC MOR.VITE 3SU1401-1BB40-1AA0 SIEMENS;;3,25;;SIEMENS S.P.A;;3SU1401-1BB40-1AA0
E333470003;MOD.LED GIALLO 24V AC\DC MOR.VITE 3SU1401-1BB30-1AA0 SIEMENS;;3,28;;SIEMENS S.P.A;;3SU1401-1BB30-1AA0
E333470004;MOD.LED BLU 24V AC\DC MOR.VITE 3SU1401-1BB50-1AA0 SIEMENS;;3,71;;SIEMENS S.P.A;;3SU1401-1BB50-1AA0
E33427M030;FRUTTO 2010500 1NA+1NC PULS.D.16 SWISSTAC;;3,42;;;;
E33SP00000;CONTATTO SPECIALE;;3,28;;;;
E34056111010;FUSIBILI 5 X20 1A 250V RITARDATO OMEGA;;,20;;OMEGA;ST522210;ST522210
E34056144200;FUSIBILI 10,3X38,1 20A GI/GG 500V OMEGA;;,00;;OMEGA;gI138320;gI138320
E34056144250;FUSIBILI 10,3X38,1 25A GI/GG 500V OMEGA;;,00;;OMEGA;gI138325;gI138325
E340561B4630;FUSIBILI 22X58 63A GI/GG 500V COD.OMF GI258463 OMEGA;;,00;;OMEGA;gI258463;gI258463
E340561B4800;FUSIBILI 22X58 80A GI/GG 500V COD.OMF GI258480 OMEGA;;,00;;OMEGA;gI258480;gI258480
E340561B4A00;FUSIBILI 22X58 100A GI/GG 500V COD.OMF GI258100 OMEGA;;,00;;OMEGA;gI258100;gI258100
E340561B6500;FUSIBILI 22X58 50A GI/GG 690V COD.OMF GI258450 OMEGA;;,00;;OMEGA;gI258450;gI258450
E340962D4A11;FUSIBILE NH00 GG 125A COD.5500082 WIMEX;;,00;;WIMEX;5500082;5500082
E340962D4A21;FUSIBILE NH00 GG 160A COD.5500083 WIMEX;;,00;;WIMEX;5500083;5500083
E34146144021;FUSIBILI 10,3X38,1  2A 500V 13402LEGRAND;;,31;;LEGRAND;13402;13402
E34146144041;FUSIBILI 10,3X38,1  4A 500V 13404LEGRAND;;,53;;LEGRAND;13404;13404
E34146244041;FUSIBILI 10,3X38,1  4A 500V 13304LEGRAND;;,17;;;;
E34146244161;FUSIBILI 10,3X38,1 16A 500V 13016 LEGRAND;;,20;;LEGRAND;13016;13016
E3414J2A4500;FUSIBILE RAPIDO CH14 32A 500V ITALWEBER;;,72;;ITALWEBER;1431032;1431032
E34156164161;FUSIBILI E 16      16A 500V       OMEGA;;,41;;OMEGA;ND1U016;ND1U016
E34156164251;FUSIBILI E 16      25A 500V       OMEGA;;,46;;OMEGA;ND1U025;ND1U025
E34156234021;FUSIBILI 6,3X32     2A 500V       OMEGA;;,24;;OMEGA;CF632220;CF632220
E34156234041;FUSIBILI 6,3X32     4A 500V       OMEGA;;,12;;OMEGA;CF632240;CF632240
E34156234071;FUSIBILI 6,3X32   6,3A 500V       OMEGA;;,29;;OMEGA;CF632263;CF632263
E34156234101;FUSIBILI 6,3X32    10A 500V       OMEGA;;,29;;OMEGA;CF632310;CF632310
E34156234161;FUSIBILI 6,3X32    16A 500V       OMEGA;;,03;;OMEGA;CF632316;CF632316
E34156244021;FUSIBILI 10,3X38,1  2A 500V       OMEGA;;,32;;OMEGA;GI138220;GI138220
E34156244041;FUSIBILI 10,3X38,1  4A 500V       OMEGA;;,32;;OMEGA;GI138240;GI138240
E34156244061;FUSIBILI 10,3X38,1  6A 500V       OMEGA;;,30;;OMEGA;GI138260;GI138260
E34156244101;FUSIBILI 10,3X38,1 10A 500V       OMEGA;;,30;;OMEGA;GI138310;GI138310
E34156244161;FUSIBILI 10,3X38,1 16A 500V       OMEGA;;,32;;OMEGA;GI138316;GI138316
E34177142160;FUSIBILI 10,3X38,1 16A 380V 5SE2016SIEME;ANN;,41;;;;
E34177244020;FUSIBILI 3NW6 002-1 10,3X38,1 2A 500V SIEMENS;;,36;;SIEMENS S.P.A;3NW6002-1;3NW6002-1
E34177244040;FUSIBILI 3NW6 004-1 10,3X38,1 4A 500V SIEMENS;;,15;;SIEMENS S.P.A;3NW6004-1;3NW6004-1
E34177244060;FUSIBILI 3NW6 001-1 10,3X38,1 6A 500V SIEMENS;;,38;;SIEMENS S.P.A;3NW6001-1;3NW6001-1
E34177244100;FUSIBILI 3NW6 003-1 10,3X38,1 10A 500V SIEMENS;;,99;;SIEMENS S.P.A;3NW6003-1;3NW6003-1
E34177244160;FUSIBILI 3NW6 005-1 10,3X38,1 16A 500V SIEMENS;;,20;;SIEMENS S.P.A;3NW6005-1;3NW6005-1
E34177244320;FUSIBILI 3NW6 012-1 10,3X38,1 32A 500V SIEMENS;;,34;;SIEMENS S.P.A;3NW012-1;3NW012-1
E3417N291020;FUSIB.2A SUBMINIATURA SCHURTER;ANN;,70;;;;
E3417N291080;FUSIB.5A SUBMINIATURA SCHURTER;ANN;,70;;;;
E34256111011;FUSIBILI  5  X20    1A 250V       OMEGA;;,23;;OMEGA;SF520210;SF520210
E34256111021;FUSIBILI  5  X20    2A 250V       OMEGA;;,10;;OMEGA;SF520220;SF520220
E34256111031;FUSIBILI  5  X20 3,15A 250V       OMEGA;;,05;;OMEGA;SF520231;SF520231
E34256111041;FUSIBILI  5  X20    4A 250V       OMEGA;;,15;;OMEGA;SF520240;SF520240
E34256111051;FUSIBILI  5  X20  1,6A 250V       OMEGA;;,12;;OMEGA;SF520216;SF520216
E34256111071;FUSIBILI  5  X20  6,3A 250V       OMEGA;;,06;;;;
E34256111101;FUSIBILI  5  X20   10A 250V       OMEGA;;,11;;OMEGA;SF520310;SF520310
E34256121011;FUSIBILI  5  X20/25 1A 250V       OMEGA;ANN;,24;;;;
E34256121021;FUSIBILI  5  X20/25 2A 250V       OMEGA;ANN;,06;;;;
E34256121041;FUSIBILI  5  X20/25 4A 250V       OMEGA;ANN;,56;;;;
E34256121061;FUSIBILI  5  X20/25 6A 250V       OMEGA;ANN;,22;;;;
E34256121101;FUSIBILI  5  X20/25 10A 250V      OMEGA;ANN;,22;;;;
E34256211061;FUSIBILI  5  X20  6,3A EXTRARAPIDI OMEGA;;1,85;;OMEGA;FF520263;FF520263
E34256244100;FUSIBILI 10,3X38,1 10A FF EXTRA RAPIDO 660V OMEGA;;,93;;OMEGA;FF139310;FF139310
E3430U205100;FUSIBILI 10A UL/CSA LPJ-10SP 600Vac/300Vdc 300kA ac/100kA dc;;9,57;;BUSSMANN;LPJ-10SP;LPJ-10SP
E3430U205150;FUSIBILI 15A UL/CSA LPJ-15SP 600VAC/300VDC 300KA AC/100KA DC;;10,40;;BUSSMANN;LPJ-15SP;LPJ-15SP
E3430U205200;FUSIBILI 20A UL/CSA LPJ-20SP 600Vac/300Vdc 300kA ac/100kA dc;;9,54;;BUSSMANN;LPJ-20SP;LPJ-20SP
E3430U205250;FUSIBILI 25A UL/CSA LPJ-25SP 600VAC/300VDC 300KA AC/100KA DC;;9,91;;BUSSMANN;LPJ-25SP;LPJ-25SP
E3430U205300;FUSIBILI 30A UL/CSA LPJ-30SP 600Vac/300Vdc 300kA ac/100kA dc;;10,91;;BUSSMANN;LPJ-30SP;LPJ-30SP
E3430U205320;FUSIBILI BS88-A2 AA032 32A 550Vac 80 kA PER INT.GENERALE;;5,28;;BUSSMANN;AAO32;AAO32
E3430U205400;FUSIBILI 40A UL/CSA LPJ-40SP 600VAC/300VDC 300KA AC/100KA DC;;14,56;;BUSSMANN;LPJ-40SP;LPJ-40SP
E3430U205500;FUSIBILI 50A UL/CSA LPJ-50SP 600VAC/300VDC 300KA AC/100KA DC;;,00;;BUSSMANN;LPJ-50SP;LPJ-50SP
E3430U205600;FUSIBILI 60A UL/CSA LPJ-60SP 600Vac/300Vdc 300kA ac/100kA dc;;17,81;;BUSSMANN;LPJ-60SP;LPJ-60SP
E3430U205630;FUSIBILI BS88-A3 BA063  63A 550Vac 80 kA PER INT.GENERALE;;4,92;;BUSSMANN;BAO63;BAO63
E3430U205700;FUSIBILE 70A UL/CSA LPJ-70SP 600Vac/300Vdc 70-600A BUSSMANN;;,00;;BUSSMANN;LPJ-70SP;LPJ-70SP
E3430U245020;FUSIBILI LP-CC-2 2A 600Vac/150Vdc 200kA BUSSMAN;;8,33;;BUSSMANN;LP-CC-2;LP-CC-2
E3430U245030;FUSIBILI LP-CC-3 3A 600Vac/150Vdc 200kA BUSSMAN;;,00;;BUSSMANN;LP-CC-3;LP-CC-3
E3430U245040;FUSIBILI LP-CC-4 4A 600Vac/150Vdc 200kA BUSSMAN;;9,75;;BUSSMANN;LP-CC-4;LP-CC-4
E3430U245060;FUSIBILI LP-CC-6 6A 600Vac/150Vdc 200kA BUSSMAN;;8,14;;;;
E3430U245080;FUSIBILI LP-CC-1/2 0,5A 600Vac/150Vdc 200kA BUSSMAN;;8,95;;BUSSMANN;LP-CC-1-2;LP-CC-1-2
E3430U245100;FUSIBILI LP-CC-10 10A 600Vac/150Vdc 200kA BUSSMAN;;6,11;;BUSSMANN;LP-CC-10;LP-CC-10
E3430U245150;FUSIBILI LP-CC-15 15A 600Vac/300Vdc 200kA BUSSMAN;;7,76;;BUSSMANN;LP-CC-15;LP-CC-15
E3430U245160;FUSIBILI LP-CC-16 16A 600Vac/300Vdc 200kA BUSSMAN;ANN;5,94;;;;
E3430U245200;FUSIBILI LP-CC-20 20A 600Vac/300Vdc 200kA BUSSMAN;;7,76;;BUSSMANN;LP-CC-20;LP-CC-20
E3430U245250;FUSIBILI LP-CC-25 25A 600Vac/300Vdc 200kA BUSSMAN;;8,48;;BUSSMANN;LP-CC-25;LP-CC-25
E3430U245300;FUSIBILI LP-CC-30 30A 600Vac/300Vdc 200kA BUSSMAN;;8,48;;BUSSMANN;LP-CC-30;LP-CC-30
E3430U245400;FUSIBILI LP-CC-40 40A 600V 200KA BUSSMAN;ANN;,00;;;;
E3430U245500;FUSIBILI LP-CC-50 50A 600V 200KA BUSSMAN;ANN;,00;;;;
E3440U245010;FUSIBILI FNQ-R-1 1A 600Vac 200kA RITARDATO CC-TRON;;6,75;;BUSSMANN;FNQ-R-1;FNQ-R-1
E3440U245020;FUSIBILI FNQ-R-2 2A 600Vac 200kA RITARDATO CC-TRON;;8,58;;BUSSMANN;FNQ-R-2;FNQ-R-2
E3440U245040;FUSIBILI FNQ-R-4 4A 600Vac 200kA RITARDATO CC-TRON;;12,13;;BUSSMANN;FNQ-R-4;FNQ-R-4
E3440U245060;FUSIBILI FNQ-R-6 6A 600Vac 200kA RITARDATO CC-TRON;;12,13;;BUSSMANN;FNQ-R-6;FNQ-R-6
E3440U245090;FUSIBILI FNQ-R-8 8A 600Vac 200kA RITARDATO CC-TRON;;9,01;;BUSSMANN;FNQ-R-8;FNQ-R-8
E3440U245100;FUSIBILI FNQ-R-10 10A 600Vac 200kA RITARDATO CC-TRON;;8,58;;BUSSMANN;FNQ-R-10;FNQ-R-10
E3440U245120;FUSIBILI FNQ-R-12 12A 600VAC 200KA RITARDATO CC-TRON;;9,01;;BUSSMANN;FNQ-R-12;FNQ-R-12
E3440U245150;FUSIBILI FNQ-R-15 15A 600Vac 200kA RITARDATO CC-TRON;;10,54;;BUSSMANN;FNQ-R-15;FNQ-R-15
E3440U245160;FUSIBILI FNQ-R-16 16A 600Vac 200kA RITARDATO CC-TRON;ANN;,00;;;;
E3440U245200;FUSIBILI FNQ-R-20 20A 600Vac 200kA RITARDATO CC-TRON;;8,58;;BUSSMANN;FNQ-R-20;FNQ-R-20
E3440U245250;FUSIBILI FNQ-R-25 25A 600Vac 200kA RITARDATO CC-TRON;;9,01;;BUSSMANN;FNQ-R-25;FNQ-R-25
E3440U245300;FUSIBILI FNQ-R-30 30A 600Vac 200kA RITARDATO CC-TRON;;8,58;;BUSSMANN;FNQ-R-30;FNQ-R-30
E34695107040;PROTEZIONE ELETTR.24 VDC 4 A CL.2 AMG ELM-4F CL2 WEIDMULLER;;16,57;;WEIDMULLER;AMG ELM-4F CL2;2491290000
E34695107060;PROTEZIONE ELETTRONICA 24 V VDC 6 A AMG ELM-6F WEIDMULLER;;14,39;;WEIDMULLER;AMG ELM-10F;2080500000
E34695107100;PROTEZIONE ELETTRONICA 24 VDC 10 A AMG ELM-10F  WEIDMULLER;;15,14;;;;
E34995000000;MORSETTO DISTRIBUZ.PER PROT.ELETTR.AMG FIM-C WEIDMULLER;;12,40;;WEIDMULLER;AMG FIM-C;2081880000
E34995000001;*ANNULLATO E SOSTITUITO DA E52079584100;ANN;1,30;;;;
E34995000002;*ANNULLATO E SOSTITUITO DA E52079584100;ANN;,12;;;;
E380642000;*FUORI PRODUZIONE GEMME C209-T7 ROSSO REER;ANN;,23;;;;
E380644000;*FUORI PRODUZIONE GEMME C209-T7 GIALLO REER;ANN;,22;;;;
E380645000;*FUORI PRODUZIONE GEMME C209-T7 VERDE REER;ANN;,32;;;;
E380646000;*FUORI PRODUZIONE GEMME C209-T7 BLU REER;ANN;,22;;;;
E380649000;*FUORI PRODUZIONE GEMME C209-T7 BIANCO REER;ANN;,22;;;;
E382440000;GEMME L 2      TRASPARENTE      KM;;1,79;;;;
E382442000;GEMME L 2      ROSSO            KM;;1,79;;;;
E382444000;GEMME L 2      GIALLO           KM;;1,79;;;;
E382445000;GEMME L 2      VERDE            KM;;1,79;;;;
E382446000;GEMME L 2      BLEU             KM;;1,79;;;;
E382830001;*FUORI PRODUZIONE GEMME ZB2 BV 07 TLMC;ANN;1,46;;;;
E382830004;GEMME ZB4-BV 01 INCOLORE TLMC;;1,85;;;;
E382832001;*FUORI PRODUZIONE GEMME ZB2 BV 04 TLMC;ANN;1,42;;;;
E382832002;GEMME ZA2 BV 04                 TLMC;;,98;;;;
E382832004;GEMME ZB4-BV 04 ROSSA TLMC;;2,47;;;;
E382834001;*FUORI PRODUZIONE GEMME ZB2 BV 05 TLMC;ANN;1,17;;;;
E382835001;*FUORI PRODUZIONE GEMME ZB2 BV 03 TLMC;;1,38;;;;
E382835004;GEMME ZB4-BV 03 VERDE TLMC;;1,86;;;;
E382836001;*FUORI PRODUZIONE GEMME ZB2 BV 06 TLMC;ANN;,99;;;;
E383700000;IND.LUM.TRASP. 30MM OPACO 3SU1061-0JD70-0AA0 SIEMENS;;13,55;;SIEMENS S.P.A;;3SU1061-0JD70-0AA0
E383702000;IND.LUM.ROSSO 30MM OPACO 3SU1061-0JD20-0AA0 SIEMENS;;11,88;;SIEMENS S.P.A;;3SU1061-0JD20-0AA0
E383704000;INDICATORE LUMINOSO GIALLO 3SU1061-0JD30-0AA0 SIEMENS;;11,88;;SIEMENS S.P.A;;3SU1061-0JD30-0AA0
E383705000;INDICATORE LUMINOSO VERDE 3SU1061-0JD40-0AA0 SIEMENS;;13,55;;SIEMENS S.P.A;;3SU1061-0JD40-0AA0
E383706000;INDICATORE LUMINOSO BLUE 3SU1061-0JD50-0AA0 SIEMENS;;,00;;;;
E3847M0000;PORTALAMPADA D.16 700.0.000  SWISSTAC;;3,43;;;;
E3847M0001;CORNICE NERA 18X24 200.6.900 SWISSTAC;;,40;;;;
E3847M2000;CALOTTA 200.5.201 ROSSA       SWISSTAC;;,00;;;;
E3847M4000;CALOTTA 200.5.701 GIALLA      SWISSTAC;;,64;;;;
E3847M5000;CALOTTA 200.5.401 VERDE       SWISSTAC;;,60;;;;
E3847M6000;CALOTTA 200.5.501 BLEU        SWISSTAC;;,62;;;;
E3847M9000;CALOTTA 200.5.601 BIANCA      SWISSTAC;;,00;;;;
E388830000;COLONNA LUM.MODULO INCOLORE XVA-C37 TLMC;ANN;7,09;;;;
E388830001;COPERCHIO CON BASE   TIPO   XVA-C21 TLMC;ANN;11,76;;;;
E388830002;ZOCCOLO DI FISSAGGIO TIPO   XVA-C01 TLMC;ANN;2,67;;;;
E388830003;TUBO                 TIPO   XVA-C02 TLMC;;3,28;;;;
E388830004;TUBO                 TIPO   XVA-C03 TLMC;;6,31;;;;
E388830005;GUARNIZIONE          TIPO   XVA-C06 TLMC;;1,26;;;;
E388830006;TUBO                 TIPO   XVA-C04 TLMC;;10,60;;;;
E388832000;COLONNA LUM.MODULO ROSSO    XVA-C34 TLMC;ANN;6,90;;;;
E388833000;COLONNA LUM.MODULO ARANCIO  XVA-C35 TLMC;ANN;6,90;;;;
E388835000;COLONNA LUM.MODULO VERDE    XVA-C33 TLMC;ANN;6,90;;;;
E388836000;COLONNA LUM.MODULO BLU      XVA-C36 TLMC;ANN;7,09;;;;
E3890DD001;SEGNALATORE ACUSTICO IN ALLUMINIO ATEX BARTEC;;,00;;;ETH9#024DC;
E389512000;LUCE ROSSA LR5 PATLITE D50 LR5-E R;;14,01;;;;
E389514000;LUCE GIALLA LR5 PATLITE D50 LR5-E Y;;14,01;;;;
E389515000;LUCE VERDE LR5 PATLITE D50 LR5-E G;;14,01;;;;
E389516000;LUCE BLU LR5 PATLITE D50 LR5-E B;;18,66;;;;
E389519000;LUCE BIANCA LR5 PATLITE D50 LR5-E C;;20,27;;;;
E38951A000;BASE LR5 PATLITE D50 NERA MORSETTIERA LR5-02KTNK;;21,60;;;;
E38951A001;BASE LR5 D50 NERA PER PALO B222210160-8F1 PATLITE;ANN;7,28;;;;
E38951A005;PALO IN ALL.LR5 PATLITE 100 MM POLE22-00100AN;;5,72;;;;
E38951A006;PALO IN ALL.LR5 PATLITE 300 MM POLE22-00300AN;;7,87;;;;
E38951A007;PALO IN ALL.LR5 PATLITE 800 MM POLE22-00800AN;;14,82;;;;
E38951D000;BUZZER LR5 PATLITE D50 NERO LR5-BK;;16,52;;;;
E3895RC001;COLONNA LUMINOSA 3 COLORI BR35-3-S PFANNENBERG;;73,35;;;;
E389830000;COLONNA LUM.MODULO INCOLORE XVB-C37 TLMC;;10,74;;;;
E389832000;COLONNA LUM.MODULO ROSSO XVB-C34 TLMC;;14,97;;;;
E389832001;COLONNA LUM.FLASH ROSSA XVB C6B4;;38,47;;;;
E389833000;COLONNA LUM.MODULO ARANCIO XVB-C35 TLMC;;13,61;;;;
E389833001;COLONNA LUM.MODULO ARANCIO FLASH XVBC6B5 TLMC;;43,24;;;;
E389835000;COLONNA LUM.MODULO VERDE XVB-C33 TLMC;;14,97;;;;
E389836000;COLONNA LUM.MODULO BLEU XVB-C36 TLMC;;7,98;;;;
